A	B
[START]	[START]
ADD {3-(4-chlorophenyl)-5-oxo-4-[(2s)-3,3,3-trifluoro-2-hydroxypropyl]-4,5-dihydro-1h-1,2,4-triazol-1-yl}acetonitrile	ADD {3-(4-chlorophenyl)-5-oxo-4-[(2s)-3,3,3-trifluoro-2-hydroxypropyl]-4,5-dihydro-1h-1,2,4-triazol-1-yl}acetonitrile
ADD methanol	ADD methanol
ADD sodium methoxide	ADD sodium methoxide
ADD methanol	ADD methanol
STIR at 65°C for 2 h	STIR at 25°C for 2 h
CONCENTRATE residue	COOL
ADD MTBE	ADD MTBE
CONCENTRATE	SONICATE at 25°C for 20 min
STIR	CONCENTRATE
COOL to 25°C	MAKE SOLUTION
STIR at 25°C for 2 h	FILTER
FILTER	WASH with hexane
WASH with hexane	DRY [VACUUM] solid
DRY [VACUUM]	YIELD: methyl 2-{3-(4-chlorophenyl)-5-oxo-4-[(2s)-3,3,3-trifluoro-2-hydroxypropyl]-4,5-dihydro-1h-1,2,4-triazol-1-yl}ethanimidate
YIELD: methyl 2-{3-(4-chlorophenyl)-5-oxo-4-[(2s)-3,3,3-trifluoro-2-hydroxypropyl]-4,5-dihydro-1h-1,2,4-triazol-1-yl}ethanimidate	[END]
[END]	
