A	B
[START]	[START]
ADD 1-[3-(3-{1-azaspiro[4.5]decane-1-carbonyl}cyclohexyl)phenyl]-5-cyclopropyl-1h-pyrazole-4-carboxylic acid methyl ester	ADD 1-[3-(3-{1-azaspiro[4.5]decane-1-carbonyl}cyclohexyl)phenyl]-5-cyclopropyl-1h-pyrazole-4-carboxylic acid methyl ester
ADD ethanol	ADD ethanol
ADD NaOH	ADD NaOH
PARTITION	STIR at 25°C for 2 h
EXTRACT with water	FILTER
REMOVE	SET PH with HCl to 5
SET PH with HCl	EXTRACT with ethyl acetate
EXTRACT with ethyl acetate	WASH extracts
REPEAT 2 time(s)	DRY SOLUTION with Na2SO4
DRY SOLUTION organic phase with MgSO4	CONCENTRATE
FILTER	RECRYSTALLISATION
CONCENTRATE	YIELD: 1-[3-(3-{1-azaspiro[4.5]decane-1-carbonyl}cyclohexyl)phenyl]-5-cyclopropyl-1h-pyrazole-4-carboxylic acid
YIELD: 1-[3-(3-{1-azaspiro[4.5]decane-1-carbonyl}cyclohexyl)phenyl]-5-cyclopropyl-1h-pyrazole-4-carboxylic acid	[END]
[END]	
