A	B
[START]	[START]
ADD sodium hydride	ADD ethyl 2-cyano-2-phenylacetate
ADD THF	ADD sodium hydride
ADD ethyl 2-cyano-2-phenylacetate at 0°C	ADD THF
STIR at 0°C for 2 h	ADD methyl iodide
ADD methyl iodide	COOL to 0°C
HEAT to 25°C for 16 h	STIR for 20 min
QUENCH	ADD
SEPARATE	STIR at 25°C for 48 h
PARTITION with ethyl acetate	ADD ethyl acetate
REPEAT 3 time(s)	FILTER
DRY SOLUTION organic phase with MgSO4	CONCENTRATE
FILTER	PURIFY by chromatography
REMOVE solvent	YIELD: ethyl 2-cyano-2-phenylpropanoate
PURIFY by chromatography	[END]
YIELD: ethyl 2-cyano-2-phenylpropanoate	
[END]	
