A	B
[START]	[START]
ADD 5-[3-(2-chloro-4-pyrimidinyl)imidazo[1,2-a]pyridin-2-yl]-n-(2,6-difluorophenyl)-2-(methyloxy)benzamide	ADD 5-[3-(2-chloro-4-pyrimidinyl)imidazo[1,2-a]pyridin-2-yl]-n-(2,6-difluorophenyl)-2-(methyloxy)benzamide
ADD 2-(methyloxy)-4-[4-(methylsulfonyl)-1-piperazinyl]aniline	ADD p-toluenesulfonic acid
ADD p-toluenesulfonic acid	ADD 2-(methyloxy)-4-[4-(methylsulfonyl)-1-piperazinyl]aniline
ADD trifluoroethanol	ADD trifluoroethanol
HEAT to > 80°C for 48 h	IRRADIATE at > 80°C for 20 min
ADD ammonia	COOL to 25°C
ADD methanol for 48 h	LOAD
CONCENTRATE	WASH with NH3
ADD dichloromethane	CONCENTRATE
ADD	PURIFY by chromatography
CONCENTRATE	YIELD: n-(2,6-difluorophenyl)-2-(methyloxy)-5-{3-[2-({2-(methyloxy)-4-[4-(methylsulfonyl)-1-piperazinyl]phenyl}amino)-4-pyrimidinyl]imidazo[1,2-a]pyridin-2-yl}benzamide
PURIFY by chromatography	[END]
YIELD: n-(2,6-difluorophenyl)-2-(methyloxy)-5-{3-[2-({2-(methyloxy)-4-[4-(methylsulfonyl)-1-piperazinyl]phenyl}amino)-4-pyrimidinyl]imidazo[1,2-a]pyridin-2-yl}benzamide	
[END]	
