A	B
[START]	[START]
ADD palladium acetate	ADD 5-bromo-1h-pyrrolo[2,3-b]pyridine
ADD triphenylphosphine	ADD triphenylphosphine
ADD nitrogen 4-[4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-phenoxy]-piperidine-1-carboxylic acid tert-butyl ester	ADD nitrogen 4-[4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-phenoxy]-piperidine-1-carboxylic acid tert-butyl ester
ADD 5-bromo-1h-pyrrolo[2,3-b]pyridine	ADD palladium acetate
STIR for 20 min	ADD DMF
ADD DMF	ADD
ADD Na2CO3	ADD Na2CO3
HEAT to 65°C for 16 h	STIR at > 80°C for 20 min
CONCENTRATE	ADD nitrogen 4-[4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-phenoxy]-piperidine-1-carboxylic acid tert-butyl ester
MAKE SOLUTION with ethyl acetate	COOL to 25°C
WASH with Na2CO3	ADD ethyl acetate
DRY SOLUTION with MgSO4	STIR at 25°C for 2 h
PURIFY by chromatography	ADD water
YIELD: 4-[4-(1h-pyrrolo[2,3-b]pyridin-5-yl)-phenoxy]-piperidine-1-carboxylic acid	WASH organic phase with brine
[END]	REPEAT 2 time(s)
	DRY SOLUTION with Na2SO4
	EVAPORATE solvent
	PURIFY by chromatography
	YIELD: 4-[4-(1h-pyrrolo[2,3-b]pyridin-5-yl)-phenoxy]-piperidine-1-carboxylic acid
	[END]
