A	B
[START]	[START]
ADD methyltriphenylphosphonium bromide	ADD n-BuLi
ADD THF	ADD methyltriphenylphosphonium bromide
ADD n-BuLi	ADD THF
ADD hexane at < -10°C	ADD hexane at 0°C
STIR for 2 h	ADD 6-bromo-2-(3-methoxypropyl)-2,3-dihydro-1h-inden-1-one
ADD 6-bromo-2-(3-methoxypropyl)-2,3-dihydro-1h-inden-1-one	STIR for 20 min
ADD THF	ADD
STIR for 2 h	REMOVE
HEAT to 25°C	WASH organic phase with brine
STIR for 16 h	DRY SOLUTION with MgSO4
ADD ethyl acetate	CONCENTRATE
SEPARATE aqueous phase	PURIFY by chromatography
EXTRACT with ethyl acetate	YIELD: 6-bromo-2-(3-methoxypropyl)-1-methylene-2,3-dihydro-1h-indene
WASH organic phase with brine	[END]
DRY SOLUTION with Na2SO4	
EVAPORATE	
PURIFY by chromatography	
YIELD: 6-bromo-2-(3-methoxypropyl)-1-methylene-2,3-dihydro-1h-indene	
[END]	
